pair_id,deepseek_type
398,No_Contradiction
399,No_Contradiction
400,No_Contradiction
401,No_Contradiction
402,No_Contradiction
403,No_Contradiction
404,No_Contradiction
405,No_Contradiction
406,No_Contradiction
407,No_Contradiction
408,No_Contradiction
409,No_Contradiction
410,No_Contradiction
411,No_Contradiction
412,No_Contradiction
413,No_Contradiction
414,No_Contradiction
415,No_Contradiction
416,No_Contradiction
417,No_Contradiction
418,No_Contradiction
419,No_Contradiction
420,No_Contradiction
421,No_Contradiction
422,No_Contradiction
423,No_Contradiction
424,No_Contradiction
425,No_Contradiction
426,No_Contradiction
427,No_Contradiction
428,No_Contradiction
429,No_Contradiction
430,No_Contradiction
431,No_Contradiction
432,No_Contradiction
433,No_Contradiction
434,No_Contradiction
435,No_Contradiction
436,No_Contradiction
437,No_Contradiction
438,No_Contradiction
439,No_Contradiction
440,No_Contradiction
441,No_Contradiction
442,No_Contradiction
443,No_Contradiction
444,No_Contradiction
445,No_Contradiction
446,No_Contradiction
447,No_Contradiction
448,No_Contradiction
449,No_Contradiction
450,No_Contradiction
451,No_Contradiction
452,No_Contradiction
453,No_Contradiction
454,No_Contradiction
455,No_Contradiction
456,No_Contradiction
457,No_Contradiction
458,No_Contradiction
459,No_Contradiction
460,No_Contradiction
461,No_Contradiction
462,No_Contradiction
463,No_Contradiction
464,No_Contradiction
465,No_Contradiction
466,No_Contradiction
467,No_Contradiction
468,No_Contradiction
469,No_Contradiction
470,No_Contradiction
471,No_Contradiction
472,No_Contradiction
473,No_Contradiction
474,No_Contradiction
475,No_Contradiction
476,No_Contradiction
477,No_Contradiction
478,No_Contradiction
479,No_Contradiction
480,No_Contradiction
481,No_Contradiction
482,No_Contradiction
483,No_Contradiction
484,No_Contradiction
485,No_Contradiction
486,No_Contradiction
487,No_Contradiction
488,No_Contradiction
489,No_Contradiction
490,No_Contradiction
491,No_Contradiction
492,No_Contradiction
493,No_Contradiction
494,No_Contradiction
495,No_Contradiction
496,No_Contradiction
497,No_Contradiction
498,No_Contradiction
499,No_Contradiction
